SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2017,Abc Unified,All Students,1592,All Students,1592,826.0,0.5188,0.9938,"Suburb, large"
2017,Abc Unified,Disability Status,1592,Non-SWD,1400,789.0,0.5636,0.9957,"Suburb, large"
2017,Abc Unified,Disability Status,1592,SWD,192,37.0,0.1927,0.9796,"Suburb, large"
2017,Abc Unified,EL Status,1592,EL Exited,165,138.0,0.8364,1.0,"Suburb, large"
2017,Abc Unified,EL Status,1592,English Learner,435,129.0,0.2966,1.0,"Suburb, large"
2017,Abc Unified,EL Status,1592,English Proficient,1155,696.0,0.6026,0.9914,"Suburb, large"
2017,Abc Unified,EL Status,1592,Ever EL,600,267.0,0.445,1.0,"Suburb, large"
2017,Abc Unified,Economic Status,1592,Economically Disadvantaged,828,278.0,0.3357,0.9916,"Suburb, large"
2017,Abc Unified,Economic Status,1592,Not Economically Disadvantaged,764,548.0,0.7173,0.9961,"Suburb, large"
2017,Abc Unified,Gender,1592,Female,793,387.0,0.488,0.9925,"Suburb, large"
2017,Abc Unified,Gender,1592,Male,799,439.0,0.5494,0.995,"Suburb, large"
2017,Abc Unified,Migrant Status,1592,Migrant,101,28.0,0.2772,1.0,"Suburb, large"
2017,Abc Unified,RaceEth,1592,American Indian or Alaska Native,*,,,,"Suburb, large"
2017,Abc Unified,RaceEth,1592,Asian,358,307.0,0.8575,1.0,"Suburb, large"
2017,Abc Unified,RaceEth,1592,Black or African American,132,54.0,0.4091,0.9851,"Suburb, large"
2017,Abc Unified,RaceEth,1592,Filipino,143,94.0,0.6573,1.0,"Suburb, large"
2017,Abc Unified,RaceEth,1592,Hispanic or Latino,763,266.0,0.3486,0.9922,"Suburb, large"
2017,Abc Unified,RaceEth,1592,Native Hawaiian or Pacific Islander,*,,,,"Suburb, large"
