SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2021,Ackerman Charter,All Students,57,All Students,57,29.0,0.5088,0.9661,"Town, fringe"
2021,Ackerman Charter,Disability Status,57,Non-SWD,45,25.0,0.5556,0.9574,"Town, fringe"
2021,Ackerman Charter,Disability Status,57,SWD,12,4.0,0.3333,1.0,"Town, fringe"
2021,Ackerman Charter,EL Status,57,EL Exited,*,,,,"Town, fringe"
2021,Ackerman Charter,EL Status,57,English Learner,*,,,,"Town, fringe"
2021,Ackerman Charter,EL Status,57,English Proficient,54,29.0,0.537,0.9643,"Town, fringe"
2021,Ackerman Charter,EL Status,57,Ever EL,4,,,1.0,"Town, fringe"
2021,Ackerman Charter,Economic Status,57,Economically Disadvantaged,18,4.0,0.2222,1.0,"Town, fringe"
2021,Ackerman Charter,Economic Status,57,Not Economically Disadvantaged,39,25.0,0.641,0.9512,"Town, fringe"
2021,Ackerman Charter,Gender,57,Female,21,7.0,0.3333,1.0,"Town, fringe"
2021,Ackerman Charter,Gender,57,Male,36,22.0,0.6111,0.9474,"Town, fringe"
2021,Ackerman Charter,Homeless Enrolled Status,57,Non-Homeless,57,29.0,0.5088,0.9661,"Town, fringe"
2021,Ackerman Charter,Migrant Status,57,Non-Migrant,57,29.0,0.5088,0.9661,"Town, fringe"
2021,Ackerman Charter,Military Connected Status,57,Military,*,,,,"Town, fringe"
2021,Ackerman Charter,Military Connected Status,57,Non-Military,54,28.0,0.5185,0.9643,"Town, fringe"
2021,Ackerman Charter,RaceEth,57,Hispanic or Latino,6,,,1.0,"Town, fringe"
2021,Ackerman Charter,RaceEth,57,Two or More,4,,,1.0,"Town, fringe"
2021,Ackerman Charter,RaceEth,57,White,47,25.0,0.5319,0.9592,"Town, fringe"
2021,Allensworth Elementary,All Students,8,All Students,8,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Disability Status,8,Non-SWD,8,,,1.0,"Rural, distant"
2021,Allensworth Elementary,EL Status,8,English Learner,5,,,1.0,"Rural, distant"
2021,Allensworth Elementary,EL Status,8,English Proficient,*,,,,"Rural, distant"
2021,Allensworth Elementary,EL Status,8,Ever EL,5,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Economic Status,8,Economically Disadvantaged,8,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Gender,8,Female,*,,,,"Rural, distant"
2021,Allensworth Elementary,Gender,8,Male,5,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Homeless Enrolled Status,8,Non-Homeless,8,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Migrant Status,8,Migrant,*,,,,"Rural, distant"
2021,Allensworth Elementary,Migrant Status,8,Non-Migrant,6,,,1.0,"Rural, distant"
2021,Allensworth Elementary,Military Connected Status,8,Non-Military,8,,,1.0,"Rural, distant"
2021,Allensworth Elementary,RaceEth,8,Hispanic or Latino,8,,,1.0,"Rural, distant"
2021,Alpine County Unified,All Students,6,All Students,6,,,1.0,"Rural, distant"
2021,Alpine County Unified,Disability Status,6,Non-SWD,5,,,1.0,"Rural, distant"
2021,Alpine County Unified,Disability Status,6,SWD,*,,,,"Rural, distant"
2021,Alpine County Unified,EL Status,6,English Proficient,6,,,1.0,"Rural, distant"
2021,Alpine County Unified,Economic Status,6,Economically Disadvantaged,*,,,,"Rural, distant"
2021,Alpine County Unified,Economic Status,6,Not Economically Disadvantaged,*,,,,"Rural, distant"
2021,Alpine County Unified,Gender,6,Female,*,,,,"Rural, distant"
2021,Alpine County Unified,Gender,6,Male,*,,,,"Rural, distant"
2021,Alpine County Unified,Homeless Enrolled Status,6,Non-Homeless,6,,,1.0,"Rural, distant"
2021,Alpine County Unified,Migrant Status,6,Non-Migrant,6,,,1.0,"Rural, distant"
2021,Alpine County Unified,Military Connected Status,6,Non-Military,6,,,1.0,"Rural, distant"
2021,Alpine County Unified,RaceEth,6,American Indian or Alaska Native,*,,,,"Rural, distant"
2021,Alpine County Unified,RaceEth,6,White,*,,,,"Rural, distant"
2021,Alta Vista Elementary,All Students,54,All Students,54,6.0,0.1111,0.9818,"Suburb, small"
2021,Alta Vista Elementary,Disability Status,54,Non-SWD,51,6.0,0.1176,0.9808,"Suburb, small"
2021,Alta Vista Elementary,Disability Status,54,SWD,*,,,,"Suburb, small"
2021,Alta Vista Elementary,EL Status,54,EL Exited,*,,,,"Suburb, small"
2021,Alta Vista Elementary,EL Status,54,English Learner,37,3.0,0.0811,1.0,"Suburb, small"
2021,Alta Vista Elementary,EL Status,54,English Proficient,17,3.0,0.1765,0.9444,"Suburb, small"
2021,Alta Vista Elementary,EL Status,54,Ever EL,38,3.0,0.0789,1.0,"Suburb, small"
2021,Alta Vista Elementary,Economic Status,54,Economically Disadvantaged,47,5.0,0.1064,0.9792,"Suburb, small"
2021,Alta Vista Elementary,Economic Status,54,Not Economically Disadvantaged,7,,,1.0,"Suburb, small"
2021,Alta Vista Elementary,Gender,54,Female,29,3.0,0.1034,0.9667,"Suburb, small"
2021,Alta Vista Elementary,Gender,54,Male,25,3.0,0.12,1.0,"Suburb, small"
2021,Alta Vista Elementary,Homeless Enrolled Status,54,Non-Homeless,54,6.0,0.1111,0.9818,"Suburb, small"
2021,Alta Vista Elementary,Migrant Status,54,Migrant,8,,,1.0,"Suburb, small"
2021,Alta Vista Elementary,Migrant Status,54,Non-Migrant,46,6.0,0.1304,0.9787,"Suburb, small"
2021,Alta Vista Elementary,Military Connected Status,54,Non-Military,54,6.0,0.1111,0.9818,"Suburb, small"
2021,Alta Vista Elementary,RaceEth,54,Asian,*,,,,"Suburb, small"
2021,Alta Vista Elementary,RaceEth,54,Hispanic or Latino,45,4.0,0.0889,1.0,"Suburb, small"
2021,Alta Vista Elementary,RaceEth,54,Native Hawaiian or Pacific Islander,*,,,,"Suburb, small"
2021,Alta Vista Elementary,RaceEth,54,White,7,,,0.875,"Suburb, small"
2021,Alta-Dutch Flat Union Elementary,All Students,11,All Students,11,6.0,0.5455,0.9167,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Disability Status,11,Non-SWD,10,,,0.9091,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Disability Status,11,SWD,*,,,,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,EL Status,11,English Proficient,11,6.0,0.5455,0.9167,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Economic Status,11,Economically Disadvantaged,5,,,1.0,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Economic Status,11,Not Economically Disadvantaged,6,,,0.8571,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Gender,11,Female,6,,,0.8571,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Gender,11,Male,5,,,1.0,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Homeless Enrolled Status,11,Non-Homeless,11,6.0,0.5455,0.9167,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Migrant Status,11,Non-Migrant,11,6.0,0.5455,0.9167,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,Military Connected Status,11,Non-Military,11,6.0,0.5455,0.9167,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,RaceEth,11,Hispanic or Latino,*,,,,"Rural, distant"
2021,Alta-Dutch Flat Union Elementary,RaceEth,11,White,9,,,0.9,"Rural, distant"
2021,Alview-Dairyland Union Elementary,All Students,46,All Students,46,20.0,0.4348,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Disability Status,46,Non-SWD,46,20.0,0.4348,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,EL Status,46,EL Exited,*,,,,"Rural, distant"
2021,Alview-Dairyland Union Elementary,EL Status,46,English Learner,25,10.0,0.4,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,EL Status,46,English Proficient,21,10.0,0.4762,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,EL Status,46,Ever EL,28,10.0,0.3571,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Economic Status,46,Economically Disadvantaged,28,11.0,0.3929,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Economic Status,46,Not Economically Disadvantaged,18,9.0,0.5,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Gender,46,Female,24,12.0,0.5,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Gender,46,Male,22,8.0,0.3636,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Homeless Enrolled Status,46,Non-Homeless,46,20.0,0.4348,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Migrant Status,46,Non-Migrant,46,20.0,0.4348,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,Military Connected Status,46,Non-Military,46,20.0,0.4348,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,RaceEth,46,Asian,*,,,,"Rural, distant"
2021,Alview-Dairyland Union Elementary,RaceEth,46,Hispanic or Latino,30,12.0,0.4,1.0,"Rural, distant"
2021,Alview-Dairyland Union Elementary,RaceEth,46,White,15,7.0,0.4667,1.0,"Rural, distant"
2021,Alvina Elementary,All Students,15,All Students,15,7.0,0.4667,0.8824,"Rural, distant"
2021,Alvina Elementary,Disability Status,15,Non-SWD,14,6.0,0.4286,0.875,"Rural, distant"
2021,Alvina Elementary,Disability Status,15,SWD,*,,,,"Rural, distant"
2021,Alvina Elementary,EL Status,15,EL Exited,5,,,1.0,"Rural, distant"
2021,Alvina Elementary,EL Status,15,English Learner,4,,,1.0,"Rural, distant"
2021,Alvina Elementary,EL Status,15,English Proficient,11,7.0,0.6364,0.8462,"Rural, distant"
2021,Alvina Elementary,EL Status,15,Ever EL,9,,,1.0,"Rural, distant"
2021,Alvina Elementary,Economic Status,15,Economically Disadvantaged,14,6.0,0.4286,0.9333,"Rural, distant"
2021,Alvina Elementary,Economic Status,15,Not Economically Disadvantaged,*,,,,"Rural, distant"
2021,Alvina Elementary,Gender,15,Female,9,,,0.9,"Rural, distant"
2021,Alvina Elementary,Gender,15,Male,6,,,0.8571,"Rural, distant"
2021,Alvina Elementary,Homeless Enrolled Status,15,Non-Homeless,15,7.0,0.4667,0.8824,"Rural, distant"
2021,Alvina Elementary,Migrant Status,15,Non-Migrant,15,7.0,0.4667,0.8824,"Rural, distant"
2021,Alvina Elementary,Military Connected Status,15,Non-Military,15,7.0,0.4667,0.8824,"Rural, distant"
2021,Alvina Elementary,RaceEth,15,Hispanic or Latino,14,6.0,0.4286,0.9333,"Rural, distant"
2021,Alvina Elementary,RaceEth,15,White,*,,,,"Rural, distant"
2021,Amador County Unified,All Students,255,All Students,255,94.0,0.3686,0.9515,"Town, distant"
2021,Amador County Unified,Disability Status,255,Non-SWD,211,82.0,0.3886,0.9462,"Town, distant"
2021,Amador County Unified,Disability Status,255,SWD,44,12.0,0.2727,0.9778,"Town, distant"
2021,Amador County Unified,EL Status,255,EL Exited,11,6.0,0.5455,1.0,"Town, distant"
2021,Amador County Unified,EL Status,255,English Learner,10,,,1.0,"Town, distant"
2021,Amador County Unified,EL Status,255,English Proficient,245,94.0,0.3837,0.9496,"Town, distant"
2021,Amador County Unified,EL Status,255,Ever EL,21,6.0,0.2857,1.0,"Town, distant"
2021,Amador County Unified,Economic Status,255,Economically Disadvantaged,109,26.0,0.2385,0.9397,"Town, distant"
2021,Amador County Unified,Economic Status,255,Not Economically Disadvantaged,146,68.0,0.4658,0.9605,"Town, distant"
2021,Amador County Unified,Gender,255,Female,115,40.0,0.3478,0.9504,"Town, distant"
2021,Amador County Unified,Gender,255,Male,140,54.0,0.3857,0.9524,"Town, distant"
2021,Amador County Unified,Homeless Enrolled Status,255,Homeless,7,,,1.0,"Town, distant"
2021,Amador County Unified,Homeless Enrolled Status,255,Non-Homeless,248,93.0,0.375,0.9502,"Town, distant"
2021,Amador County Unified,Migrant Status,255,Non-Migrant,255,94.0,0.3686,0.9515,"Town, distant"
2021,Amador County Unified,Military Connected Status,255,Military,*,,,,"Town, distant"
2021,Amador County Unified,Military Connected Status,255,Non-Military,254,93.0,0.3661,0.9513,"Town, distant"
2021,Amador County Unified,RaceEth,255,American Indian or Alaska Native,7,,,1.0,"Town, distant"
2021,Amador County Unified,RaceEth,255,Asian,*,,,,"Town, distant"
2021,Amador County Unified,RaceEth,255,Filipino,*,,,,"Town, distant"
2021,Amador County Unified,RaceEth,255,Hispanic or Latino,55,13.0,0.2364,0.9649,"Town, distant"
2021,Amador County Unified,RaceEth,255,Two or More,17,7.0,0.4118,0.9444,"Town, distant"
2021,Amador County Unified,RaceEth,255,White,173,72.0,0.4162,0.9505,"Town, distant"
2021,Anaheim Elementary,All Students,*,All Students,*,,,,"City, large"
2021,Anaheim Elementary,Disability Status,*,SWD,*,,,,"City, large"
2021,Anaheim Elementary,EL Status,*,English Proficient,*,,,,"City, large"
2021,Anaheim Elementary,Economic Status,*,Economically Disadvantaged,*,,,,"City, large"
2021,Anaheim Elementary,Economic Status,*,Not Economically Disadvantaged,*,,,,"City, large"
2021,Anaheim Elementary,Gender,*,Male,*,,,,"City, large"
2021,Anaheim Elementary,Homeless Enrolled Status,*,Non-Homeless,*,,,,"City, large"
2021,Anaheim Elementary,Migrant Status,*,Non-Migrant,*,,,,"City, large"
2021,Anaheim Elementary,Military Connected Status,*,Non-Military,*,,,,"City, large"
2021,Anaheim Elementary,RaceEth,*,Hispanic or Latino,*,,,,"City, large"
2021,Anaheim Elementary,RaceEth,*,White,*,,,,"City, large"
2021,Antelope Elementary,All Students,78,All Students,78,24.0,0.3077,0.9176,"Town, distant"
2021,Antelope Elementary,Disability Status,78,Non-SWD,69,23.0,0.3333,0.92,"Town, distant"
2021,Antelope Elementary,Disability Status,78,SWD,9,,,0.9,"Town, distant"
2021,Antelope Elementary,EL Status,78,EL Exited,6,,,0.8571,"Town, distant"
2021,Antelope Elementary,EL Status,78,English Learner,*,,,,"Town, distant"
2021,Antelope Elementary,EL Status,78,English Proficient,75,24.0,0.32,0.9259,"Town, distant"
