SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2024,ABC Unified,All Students,1254,All Students,1254,725.0,0.5786,0.9866,"Suburb, large"
2024,ABC Unified,Disability Status,1254,Non-SWD,1087,671.0,0.6179,0.9873,"Suburb, large"
2024,ABC Unified,Disability Status,1254,SWD,167,54.0,0.3234,0.9824,"Suburb, large"
2024,ABC Unified,EL Status,1254,EL Exited,110,86.0,0.7818,1.0,"Suburb, large"
2024,ABC Unified,EL Status,1254,English Learner,154,33.0,0.2143,0.9809,"Suburb, large"
2024,ABC Unified,EL Status,1254,English Proficient,1100,692.0,0.6297,0.9874,"Suburb, large"
2024,ABC Unified,EL Status,1254,Ever EL,264,119.0,0.4508,0.9888,"Suburb, large"
2024,ABC Unified,Economic Status,1254,Economically Disadvantaged,825,399.0,0.4842,0.9857,"Suburb, large"
2024,ABC Unified,Economic Status,1254,Not Economically Disadvantaged,429,326.0,0.7599,0.9885,"Suburb, large"
2024,ABC Unified,Foster Care Status,1254,Foster Care,*,,,,"Suburb, large"
2024,ABC Unified,Foster Care Status,1254,Non-Foster Care,1251,725.0,0.58,0.9866,"Suburb, large"
2024,ABC Unified,Gender,1254,Female,620,351.0,0.5661,0.9888,"Suburb, large"
2024,ABC Unified,Gender,1254,Male,634,374.0,0.5908,0.9845,"Suburb, large"
2024,ABC Unified,Homeless Enrolled Status,1254,Homeless,12,4.0,0.3333,1.0,"Suburb, large"
2024,ABC Unified,Homeless Enrolled Status,1254,Non-Homeless,1242,721.0,0.581,0.9865,"Suburb, large"
2024,ABC Unified,Migrant Status,1254,Migrant,131,39.0,0.2977,1.0,"Suburb, large"
2024,ABC Unified,Migrant Status,1254,Non-Migrant,1123,686.0,0.6114,0.9851,"Suburb, large"
2024,ABC Unified,Military Connected Status,1254,Military,6,,,1.0,"Suburb, large"
2024,ABC Unified,Military Connected Status,1254,Non-Military,1248,719.0,0.5766,0.9866,"Suburb, large"
2024,ABC Unified,RaceEth,1254,American Indian or Alaska Native,*,,,,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Asian,287,248.0,0.8641,0.9897,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Black or African American,69,32.0,0.4638,0.9718,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Filipino,145,108.0,0.7448,1.0,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Hispanic or Latino,542,213.0,0.3937,0.9819,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Native Hawaiian or Pacific Islander,7,,,1.0,"Suburb, large"
2024,ABC Unified,RaceEth,1254,Two or More,135,79.0,0.5852,0.9854,"Suburb, large"
2024,ABC Unified,RaceEth,1254,White,66,37.0,0.5606,1.0,"Suburb, large"
2024,Ackerman Charter,All Students,62,All Students,62,48.0,0.7742,0.9841,"Town, fringe"
2024,Ackerman Charter,Disability Status,62,Non-SWD,54,46.0,0.8519,1.0,"Town, fringe"
2024,Ackerman Charter,Disability Status,62,SWD,8,,,0.8889,"Town, fringe"
2024,Ackerman Charter,EL Status,62,EL Exited,*,,,,"Town, fringe"
2024,Ackerman Charter,EL Status,62,English Proficient,62,48.0,0.7742,0.9841,"Town, fringe"
2024,Ackerman Charter,EL Status,62,Ever EL,*,,,,"Town, fringe"
2024,Ackerman Charter,Economic Status,62,Economically Disadvantaged,17,12.0,0.7059,1.0,"Town, fringe"
2024,Ackerman Charter,Economic Status,62,Not Economically Disadvantaged,45,36.0,0.8,0.9783,"Town, fringe"
2024,Ackerman Charter,Foster Care Status,62,Non-Foster Care,62,48.0,0.7742,0.9841,"Town, fringe"
2024,Ackerman Charter,Gender,62,Female,27,19.0,0.7037,0.9643,"Town, fringe"
2024,Ackerman Charter,Gender,62,Male,35,29.0,0.8286,1.0,"Town, fringe"
2024,Ackerman Charter,Homeless Enrolled Status,62,Homeless,*,,,,"Town, fringe"
2024,Ackerman Charter,Homeless Enrolled Status,62,Non-Homeless,60,48.0,0.8,0.9836,"Town, fringe"
2024,Ackerman Charter,Migrant Status,62,Non-Migrant,62,48.0,0.7742,0.9841,"Town, fringe"
2024,Ackerman Charter,Military Connected Status,62,Military,7,,,1.0,"Town, fringe"
2024,Ackerman Charter,Military Connected Status,62,Non-Military,55,42.0,0.7636,0.9821,"Town, fringe"
