SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2023,ABC Unified,All Students,1330,All Students,1330,785.0,0.5902,0.9911,"Suburb, large"
2023,ABC Unified,Disability Status,1330,Non-SWD,1174,740.0,0.6303,0.9941,"Suburb, large"
2023,ABC Unified,Disability Status,1330,SWD,156,45.0,0.2885,0.9689,"Suburb, large"
2023,ABC Unified,EL Status,1330,EL Exited,142,121.0,0.8521,1.0,"Suburb, large"
2023,ABC Unified,EL Status,1330,English Learner,185,40.0,0.2162,0.984,"Suburb, large"
2023,ABC Unified,EL Status,1330,English Proficient,1145,745.0,0.6507,0.9922,"Suburb, large"
2023,ABC Unified,EL Status,1330,Ever EL,327,161.0,0.4924,0.9909,"Suburb, large"
2023,ABC Unified,Economic Status,1330,Economically Disadvantaged,771,352.0,0.4565,0.991,"Suburb, large"
2023,ABC Unified,Economic Status,1330,Not Economically Disadvantaged,559,433.0,0.7746,0.9911,"Suburb, large"
2023,ABC Unified,Foster Care Status,1330,Foster Care,8,,,1.0,"Suburb, large"
2023,ABC Unified,Foster Care Status,1330,Non-Foster Care,1322,785.0,0.5938,0.991,"Suburb, large"
2023,ABC Unified,Gender,1330,Female,660,368.0,0.5576,0.9925,"Suburb, large"
2023,ABC Unified,Gender,1330,Male,670,417.0,0.6224,0.9897,"Suburb, large"
2023,ABC Unified,Homeless Enrolled Status,1330,Homeless,11,2.0,0.1818,1.0,"Suburb, large"
2023,ABC Unified,Homeless Enrolled Status,1330,Non-Homeless,1319,783.0,0.5936,0.991,"Suburb, large"
2023,ABC Unified,Migrant Status,1330,Migrant,105,26.0,0.2476,1.0,"Suburb, large"
2023,ABC Unified,Migrant Status,1330,Non-Migrant,1225,759.0,0.6196,0.9903,"Suburb, large"
2023,ABC Unified,Military Connected Status,1330,Military,9,,,1.0,"Suburb, large"
2023,ABC Unified,Military Connected Status,1330,Non-Military,1321,780.0,0.5905,0.991,"Suburb, large"
2023,ABC Unified,RaceEth,1330,American Indian or Alaska Native,4,,,1.0,"Suburb, large"
2023,ABC Unified,RaceEth,1330,Asian,346,310.0,0.896,0.9914,"Suburb, large"
2023,ABC Unified,RaceEth,1330,Black or African American,92,38.0,0.413,1.0,"Suburb, large"
2023,ABC Unified,RaceEth,1330,Filipino,141,112.0,0.7943,0.993,"Suburb, large"
2023,ABC Unified,RaceEth,1330,Hispanic or Latino,578,211.0,0.3651,0.9931,"Suburb, large"
2023,ABC Unified,RaceEth,1330,Native Hawaiian or Pacific Islander,16,11.0,0.6875,1.0,"Suburb, large"
